year,province,population
1997,1502,120179
1997,1503,9265
1997,1504,11282
1997,1505,165827
1997,1506,140087
1997,1507,60141
1997,1508,175190
1997,1509,17792
1997,1510,27685
1997,1601,460373
1997,1602,97076
1997,1603,60888
1997,1604,40473
1997,1605,57683
1997,1606,57214
1997,1607,44465
1997,1608,8788
1997,1701,57603
1997,1702,20098
1997,1703,7464
1997,1801,63678
1997,1802,20302
1997,1803,57726
1997,1901,140331
1997,1902,39062
1997,1903,70393
1997,2001,559564
1997,2002,138739
1997,2003,125218
1997,2004,177652
1997,2005,85214
1997,2006,251539
1997,2007,136965
1997,2008,46493
1997,2101,213117
1997,2102,150455
1997,2103,53487
1997,2104,97455
1997,2105,84323
1997,2106,87461
1997,2107,46486
1997,2108,78597
1997,2109,35816
1997,2110,32833
1997,2111,197389
1997,2112,53257
1997,2113,51757
1997,2201,89441
1997,2202,43386
1997,2203,28685
1997,2204,25740
