ubigeo,year,population
021710,2023,2772.222222222222
021801,2018,215834
021801,2019,216601
021801,2020,216776
021801,2021,216641
021801,2022,216277
021801,2023,215753.83333333334
021802,2018,4826
021802,2019,4828
021802,2020,4816
021802,2021,4782
021802,2022,4736
021802,2023,4689
021803,2018,16941
021803,2019,17236
021803,2020,17491
021803,2021,17626
021803,2022,17704
021803,2023,17795.944444444445
021804,2018,3346
021804,2019,3315
021804,2020,3275
021804,2021,3221
021804,2022,3159
021804,2023,3095.6111111111113
021805,2018,8449
021805,2019,8576
021805,2020,8683
021805,2021,8748
021805,2022,8791
021805,2023,8834.333333333334
021806,2018,14601
021806,2019,14742
021806,2020,14846
021806,2021,14892
021806,2022,14908
021806,2023,14924.722222222223
021807,2018,5022
021807,2019,5129
021807,2020,5225
021807,2021,5297
021807,2022,5355
021807,2023,5410.277777777777
021808,2018,21748
021808,2019,22242
021808,2020,22689
021808,2021,23030
021808,2022,23318
021808,2023,23612.222222222223
021809,2018,168370
021809,2019,174513
021809,2020,180252
021809,2021,185125
021809,2022,189526
021809,2023,193896.55555555556
021901,2018,5652
021901,2019,5678
021901,2020,5687
021901,2021,5710
021901,2022,5726
021901,2023,5711.111111111111
021902,2018,1695
021902,2019,1673
021902,2020,1647
021902,2021,1612
021902,2022,1572
021902,2023,1531.5
021903,2018,557
021903,2019,535
021903,2020,514
021903,2021,490
021903,2022,466
021903,2023,445.3888888888889
021904,2018,2955
021904,2019,2954
021904,2020,2945
021904,2021,2918
021904,2022,2882
021904,2023,2847.0555555555557
021905,2018,947
021905,2019,933
021905,2020,916
021905,2021,894
021905,2022,870
021905,2023,847.2777777777778
021906,2018,3769
021906,2019,3740
021906,2020,3701
021906,2021,3639
021906,2022,3567
021906,2023,3499.4444444444443
021907,2018,2451
021907,2019,2428
021907,2020,2400
021907,2021,2358
021907,2022,2310
021907,2023,2264.9444444444443
021908,2018,2452
021908,2019,2432
021908,2020,2404
021908,2021,2363
021908,2022,2315
021908,2023,2266.6111111111113
021909,2018,6806
021909,2019,6870
021909,2020,6914
021909,2021,6941
021909,2022,6960
021909,2023,6980.333333333333
021910,2018,1556
021910,2019,1531
021910,2020,1502
021910,2021,1464
021910,2022,1423
021910,2023,1385.611111111111
022001,2018,21873
022001,2019,22118
022001,2020,22302
022001,2021,22485
022001,2022,22654
022001,2023,22791.944444444445
022002,2018,1747
