year,ubigeo,population,level
2005,081300,59193,province
2005,081301,18334,district
2005,081302,10079,district
2005,081303,5313,district
2005,081304,4986,district
2005,081305,6927,district
2005,081306,10261,district
2005,081307,3293,district
2005,090000,455562,region
2005,090100,141925,province
2005,090101,37272,district
2005,090102,3939,district
2005,090103,30661,district
2005,090104,1389,district
2005,090105,2364,district
2005,090106,3158,district
2005,090107,983,district
2005,090108,1036,district
2005,090109,1486,district
2005,090110,1784,district
2005,090111,714,district
2005,090112,2268,district
2005,090113,2558,district
2005,090114,3631,district
2005,090115,682,district
2005,090116,3307,district
2005,090117,27336,district
2005,090118,9309,district
2005,090119,8048,district
2005,090200,61466,province
2005,090201,10002,district
2005,090202,4696,district
2005,090203,8110,district
2005,090204,3082,district
2005,090205,2465,district
2005,090206,21751,district
2005,090207,4474,district
2005,090208,6886,district
2005,090300,55035,province
2005,090301,24779,district
2005,090302,7430,district
2005,090303,953,district
2005,090304,3715,district
2005,090305,999,district
2005,090306,4514,district
2005,090307,1696,district
2005,090308,1983,district
2005,090309,1663,district
2005,090310,2334,district
2005,090311,1659,district
2005,090312,3310,district
2005,090400,20132,province
2005,090401,3530,district
2005,090402,1562,district
2005,090403,2167,district
2005,090404,1462,district
2005,090405,1134,district
2005,090406,983,district
2005,090407,1850,district
2005,090408,478,district
2005,090409,1556,district
2005,090410,689,district
2005,090411,2003,district
2005,090412,819,district
2005,090413,1899,district
2005,090500,46189,province
2005,090501,6243,district
2005,090502,10893,district
2005,090503,4353,district
2005,090504,3202,district
2005,090505,1019,district
2005,090506,4661,district
2005,090507,6616,district
2005,090508,1135,district
2005,090509,4897,district
2005,090510,3170,district
2005,090600,23987,province
2005,090601,2343,district
2005,090602,907,district
2005,090603,1964,district
2005,090604,480,district
2005,090605,1127,district
2005,090606,1804,district
2005,090607,3785,district
2005,090608,812,district
2005,090609,934,district
2005,090610,1707,district
2005,090611,930,district
2005,090612,1130,district
2005,090613,3588,district
2005,090614,726,district
2005,090615,1136,district
2005,090616,614,district
2005,090700,106828,province
2005,090701,11037,district
2005,090702,4771,district
2005,090703,5389,district
2005,090704,5244,district
2005,090705,21198,district
2005,090706,9825,district
2005,090707,4741,district
2005,090709,7784,district
2005,090710,2315,district
2005,090711,7767,district
2005,090713,977,district
2005,090714,5400,district
2005,090715,4065,district
2005,090716,3379,district
2005,090717,5294,district
2005,090718,7642,district
2005,100000,788380,region
2005,100100,277883,province
2005,100101,79000,district
2005,100102,70993,district
2005,100103,25991,district
2005,100104,24626,district
2005,100105,15604,district
2005,100106,7330,district
2005,100107,4915,district
2005,100108,7089,district
2005,100109,19558,district
2005,100110,2841,district
2005,100111,19936,district
2005,100200,58932,province
2005,100201,16365,district
2005,100202,4026,district
2005,100203,2963,district
2005,100204,5988,district
2005,100205,8798,district
2005,100206,3506,district
2005,100207,12340,district
2005,100208,4946,district
2005,100300,48528,province
2005,100301,6475,district
2005,100307,5257,district
2005,100311,7666,district
2005,100313,11334,district
2005,100316,1997,district
2005,100317,6558,district
2005,100321,2736,district
2005,100322,3221,district
2005,100323,3284,district
2005,100400,21153,province
2005,100401,7064,district
2005,100402,3176,district
2005,100403,2747,district
2005,100404,8166,district
2005,100500,68576,province
2005,100501,15779,district
2005,100502,1972,district
2005,100503,4728,district
2005,100504,6969,district
2005,100505,2968,district
2005,100506,3706,district
2005,100507,17300,district
2005,100508,2481,district
2005,100509,5139,district
2005,100510,4462,district
2005,100511,3072,district
2005,100600,120575,province
2005,100601,58236,district
2005,100602,6737,district
2005,100603,3974,district
2005,100604,32824,district
2005,100605,8854,district
2005,100606,9950,district
2005,100700,26983,province
2005,100701,15908,district
2005,100702,8445,district
2005,100703,2630,district
2005,100800,61272,province
2005,100801,19959,district
2005,100802,11665,district
2005,100803,12361,district
2005,100804,17287,district
2005,100900,33170,province
2005,100901,9532,district
2005,100902,6337,district
2005,100903,5827,district
2005,100904,5571,district
2005,100905,5903,district
2005,101000,36871,province
2005,101001,6797,district
2005,101002,5331,district
2005,101003,2564,district
2005,101004,1519,district
2005,101005,7874,district
2005,101006,2675,district
2005,101007,10111,district
2005,101100,34437,province
2005,101101,7378,district
2005,101102,3270,district
2005,101103,3022,district
2005,101104,6184,district
2005,101105,2005,district
2005,101106,6521,district
2005,101107,2453,district
2005,101108,3604,district
2005,110000,704822,region
2005,110100,316028,province
2005,110101,125555,district
2005,110102,30148,district
2005,110103,15787,district
2005,110104,3690,district
2005,110105,5903,district
2005,110106,49992,district
2005,110107,4734,district
2005,110108,16890,district
2005,110109,6142,district
2005,110110,12045,district
2005,110111,22637,district
2005,110112,17281,district
2005,110113,4042,district
2005,110114,1182,district
2005,110200,191572,province
2005,110201,59504,district
2005,110202,6025,district
2005,110203,1061,district
2005,110204,12396,district
2005,110205,11513,district
2005,110206,20073,district
2005,110207,50687,district
2005,110208,543,district
2005,110209,1582,district
2005,110210,23449,district
2005,110211,4739,district
2005,110300,58326,province
2005,110301,26374,district
2005,110302,2135,district
2005,110303,3064,district
2005,110304,13281,district
2005,110305,13472,district
2005,110400,13327,province
2005,110401,7427,district
2005,110402,1467,district
2005,110403,2876,district
2005,110404,1105,district
2005,110405,452,district
2005,110500,125569,province
2005,110501,56236,district
2005,110502,1850,district
2005,110503,5406,district
2005,110504,12052,district
2005,110505,3476,district
2005,110506,13481,district
2005,110507,18953,district
2005,110508,14115,district
2005,120000,1253996,region
2005,120100,478207,province
2005,120101,116367,district
2005,120104,766,district
2005,120105,1393,district
2005,120106,1445,district
2005,120107,78657,district
2005,120108,1871,district
2005,120111,2187,district
2005,120112,2131,district
2005,120113,2822,district
2005,120114,148621,district
2005,120116,1526,district
2005,120117,3919,district
2005,120119,14262,district
2005,120120,1085,district
2005,120121,8508,district
2005,120122,2827,district
2005,120124,7790,district
2005,120125,13071,district
2005,120126,6123,district
2005,120127,2077,district
2005,120128,4153,district
2005,120129,10367,district
2005,120130,9957,district
2005,120132,3976,district
2005,120133,13811,district
2005,120134,7752,district
2005,120135,8551,district
2005,120136,2192,district
2005,120200,64270,province
2005,120201,14685,district
2005,120202,2153,district
2005,120203,6026,district
2005,120204,3166,district
2005,120205,2477,district
2005,120206,8572,district
2005,120207,1559,district
2005,120208,1659,district
2005,120209,1603,district
2005,120210,5423,district
2005,120211,1581,district
2005,120212,1945,district
2005,120213,4307,district
2005,120214,6849,district
2005,120215,2265,district
2005,120300,167679,province
2005,120301,28012,district
2005,120302,54028,district
2005,120303,48172,district
2005,120304,7231,district
2005,120305,26989,district
2005,120306,3247,district
2005,120400,99309,province
2005,120401,17928,district
2005,120402,9163,district
2005,120403,5456,district
2005,120404,1364,district
2005,120405,1897,district
2005,120406,1877,district
2005,120407,2758,district
2005,120408,2112,district
2005,120409,1164,district
2005,120410,2024,district
2005,120411,1015,district
2005,120412,942,district
2005,120413,1782,district
2005,120414,1510,district
2005,120415,2273,district
2005,120416,2389,district
2005,120417,1002,district
2005,120418,1992,district
2005,120419,1511,district
2005,120420,1138,district
2005,120421,2574,district
2005,120422,1391,district
2005,120423,2321,district
2005,120424,1502,district
2005,120425,1682,district
2005,120426,2295,district
2005,120427,2189,district
2005,120428,2317,district
2005,120429,1061,district
2005,120430,2879,district
2005,120431,4581,district
2005,120432,1544,district
2005,120433,1821,district
2005,120434,9855,district
2005,120500,33319,province
2005,120501,13449,district
2005,120502,8985,district
2005,120503,2924,district
2005,120504,7961,district
2005,120600,182958,province
2005,120601,36181,district
2005,120602,5251,district
2005,120603,5076,district
2005,120604,34051,district
2005,120605,7097,district
2005,120606,40533,district
2005,120607,26372,district
2005,120608,28397,district
2005,120700,119141,province
2005,120701,53771,district
2005,120702,14051,district
2005,120703,3167,district
2005,120704,16188,district
2005,120705,4243,district
2005,120706,6984,district
2005,120707,8406,district
2005,120708,6144,district
2005,120709,6187,district
2005,120800,55052,province
2005,120801,21309,district
2005,120802,1026,district
2005,120803,1823,district
2005,120804,1346,district
2005,120805,6017,district
2005,120806,2045,district
2005,120807,1926,district
2005,120808,12114,district
2005,120809,931,district
2005,120810,6515,district
2005,120900,54061,province
2005,120901,21617,district
2005,120902,7046,district
2005,120903,4745,district
2005,120904,3860,district
2005,120905,4957,district
2005,120906,2508,district
2005,120907,3868,district
2005,120908,2062,district
2005,120909,3398,district
2005,130000,1638251,region
2005,130100,815186,province
2005,130101,303068,district
2005,130102,135894,district
2005,130103,41551,district
2005,130104,41594,district
2005,130105,151298,district
2005,130106,33830,district
2005,130107,29935,district
2005,130108,3934,district
2005,130109,13507,district
2005,130110,4231,district
2005,130111,56344,district
2005,130200,121380,province
2005,130201,7505,district
2005,130202,15740,district
2005,130203,10931,district
2005,130204,2941,district
2005,130205,23743,district
2005,130206,8566,district
2005,130207,20834,district
2005,130208,31120,district
2005,130300,17601,province
2005,130301,4985,district
2005,130302,3631,district
2005,130303,2397,district
2005,130304,2455,district
