ubigeo,year,population,level
020611,1995,2984,district
020700,1990,21826,province
020700,1991,21837,province
020700,1992,21848,province
020700,1993,21859,province
020700,1994,21870,province
020700,1995,21881,province
020701,1990,12000,district
020701,1991,12043,district
020701,1992,12067,district
020701,1993,12082,district
020701,1994,12097,district
020701,1995,12124,district
020702,1990,4378,district
020702,1991,4441,district
020702,1992,4517,district
020702,1993,4595,district
020702,1994,4663,district
020702,1995,4708,district
020703,1990,5448,district
020703,1991,5353,district
020703,1992,5264,district
020703,1993,5182,district
020703,1994,5110,district
020703,1995,5049,district
020800,1990,35203,province
020800,1991,35760,province
020800,1992,36317,province
020800,1993,36874,province
020800,1994,37431,province
020800,1995,37988,province
020801,1990,22909,district
020801,1991,23337,district
020801,1992,23783,district
020801,1993,24236,district
020801,1994,24688,district
020801,1995,25130,district
020802,1990,3695,district
020802,1991,3712,district
020802,1992,3723,district
020802,1993,3732,district
020802,1994,3740,district
020802,1995,3752,district
020803,1990,2061,district
020803,1991,2103,district
020803,1992,2143,district
020803,1993,2182,district
020803,1994,2220,district
020803,1995,2257,district
020804,1990,6538,district
020804,1991,6608,district
020804,1992,6668,district
020804,1993,6724,district
020804,1994,6783,district
020804,1995,6849,district
020900,1990,9258,province
020900,1991,9267,province
020900,1992,9276,province
020900,1993,9286,province
020900,1994,9295,province
020900,1995,9304,province
020901,1990,2692,district
020901,1991,2662,district
020901,1992,2638,district
020901,1993,2613,district
020901,1994,2591,district
020901,1995,2571,district
020902,1990,792,district
020902,1991,784,district
020902,1992,774,district
020902,1993,765,district
020902,1994,756,district
020902,1995,749,district
020903,1990,488,district
020903,1991,479,district
020903,1992,470,district
020903,1993,461,district
020903,1994,452,district
020903,1995,446,district
020904,1990,2508,district
020904,1991,2548,district
020904,1992,2589,district
020904,1993,2629,district
020904,1994,2664,district
020904,1995,2691,district
020905,1990,1446,district
020905,1991,1466,district
020905,1992,1485,district
020905,1993,1504,district
020905,1994,1523,district
020905,1995,1543,district
020906,1990,872,district
020906,1991,869,district
020906,1992,864,district
020906,1993,860,district
020906,1994,856,district
020906,1995,852,district
020907,1990,460,district
020907,1991,459,district
020907,1992,456,district
020907,1993,454,district
020907,1994,453,district
020907,1995,452,district
021000,1990,67859,province
021000,1991,67469,province
021000,1992,67079,province
021000,1993,66690,province
021000,1994,66300,province
021000,1995,65910,province
021001,1990,9688,district
021001,1991,9612,district
021001,1992,9539,district
021001,1993,9465,district
021001,1994,9392,district
021001,1995,9316,district
021002,1990,2355,district
021002,1991,2348,district
021002,1992,2341,district
021002,1993,2335,district
021002,1994,2328,district
021002,1995,2321,district
021003,1990,4176,district
021003,1991,4132,district
021003,1992,4087,district
021003,1993,4043,district
021003,1994,3998,district
021003,1995,3954,district
021004,1990,9752,district
021004,1991,9711,district
021004,1992,9670,district
021004,1993,9629,district
021004,1994,9588,district
021004,1995,9547,district
021005,1990,2784,district
021005,1991,2774,district
021005,1992,2764,district
021005,1993,2754,district
021005,1994,2744,district
021005,1995,2734,district
021006,1990,2199,district
021006,1991,2195,district
021006,1992,2191,district
021006,1993,2187,district
021006,1994,2183,district
021006,1995,2179,district
021007,1990,4724,district
021007,1991,4642,district
021007,1992,4560,district
021007,1993,4477,district
021007,1994,4395,district
021007,1995,4313,district
021008,1990,3519,district
021008,1991,3471,district
021008,1992,3422,district
021008,1993,3374,district
021008,1994,3325,district
021008,1995,3277,district
021009,1990,2843,district
021009,1991,2812,district
021009,1992,2781,district
021009,1993,2750,district
021009,1994,2719,district
021009,1995,2688,district
021010,1990,2521,district
021010,1991,2537,district
021010,1992,2553,district
021010,1993,2569,district
021010,1994,2585,district
021010,1995,2601,district
021011,1990,4021,district
021011,1991,3975,district
021011,1992,3928,district
021011,1993,3882,district
021011,1994,3835,district
021011,1995,3789,district
021012,1990,765,district
021012,1991,755,district
021012,1992,744,district
021012,1993,734,district
021012,1994,723,district
021012,1995,713,district
021013,1990,1835,district
021013,1991,1831,district
021013,1992,1827,district
021013,1993,1823,district
021013,1994,1819,district
021013,1995,1815,district
021014,1990,11965,district
021014,1991,11978,district
021014,1992,11992,district
021014,1993,12005,district
021014,1994,12019,district
021014,1995,12032,district
021015,1990,2549,district
021015,1991,2548,district
021015,1992,2547,district
021015,1993,2545,district
021015,1994,2544,district
021015,1995,2543,district
021016,1990,2163,district
021016,1991,2148,district
021016,1992,2133,district
021016,1993,2118,district
021016,1994,2103,district
021016,1995,2088,district
021100,1990,24240,province
021100,1991,24435,province
021100,1992,24630,province
021100,1993,24826,province
021100,1994,25021,province
021100,1995,25216,province
021101,1990,17899,district
021101,1991,18096,district
021101,1992,18299,district
021101,1993,18506,district
021101,1994,18707,district
021101,1995,18897,district
021102,1990,1194,district
021102,1991,1199,district
021102,1992,1203,district
021102,1993,1206,district
021102,1994,1210,district
021102,1995,1214,district
021103,1990,2544,district
021103,1991,2548,district
021103,1992,2551,district
021103,1993,2552,district
021103,1994,2554,district
021103,1995,2557,district
021104,1990,1116,district
021104,1991,1143,district
021104,1992,1170,district
021104,1993,1196,district
021104,1994,1221,district
021104,1995,1246,district
021105,1990,1487,district
021105,1991,1449,district
021105,1992,1407,district
021105,1993,1366,district
021105,1994,1329,district
021105,1995,1302,district
021200,1990,50814,province
021200,1991,51485,province
021200,1992,52157,province
021200,1993,52828,province
021200,1994,53500,province
021200,1995,54171,province
021201,1990,18926,district
021201,1991,19233,district
021201,1992,19596,district
021201,1993,19972,district
021201,1994,20314,district
021201,1995,20581,district
021202,1990,1777,district
021202,1991,1781,district
021202,1992,1785,district
021202,1993,1788,district
021202,1994,1793,district
021202,1995,1798,district
021203,1990,1690,district
021203,1991,1697,district
021203,1992,1699,district
021203,1993,1700,district
021203,1994,1705,district
021203,1995,1717,district
021204,1990,2970,district
021204,1991,3039,district
021204,1992,3104,district
021204,1993,3168,district
021204,1994,3232,district
021204,1995,3298,district
021205,1990,2339,district
021205,1991,2352,district
021205,1992,2360,district
021205,1993,2366,district
021205,1994,2376,district
021205,1995,2396,district
021206,1990,7766,district
021206,1991,7865,district
021206,1992,7946,district
021206,1993,8023,district
021206,1994,8112,district
021206,1995,8228,district
021207,1990,6572,district
021207,1991,6666,district
021207,1992,6746,district
021207,1993,6823,district
021207,1994,6908,district
021207,1995,7012,district
021208,1990,4301,district
021208,1991,4372,district
021208,1992,4434,district
021208,1993,4495,district
021208,1994,4560,district
021208,1995,4634,district
021209,1990,2451,district
021209,1991,2453,district
021209,1992,2455,district
021209,1993,2457,district
021209,1994,2459,district
021209,1995,2461,district
021210,1990,2022,district
021210,1991,2027,district
021210,1992,2032,district
021210,1993,2036,district
021210,1994,2041,district
021210,1995,2046,district
021300,1990,23425,province
021300,1991,23699,province
021300,1992,23974,province
021300,1993,24248,province
021300,1994,24523,province
021300,1995,24797,province
021301,1990,3721,district
021301,1991,3740,district
021301,1992,3758,district
021301,1993,3781,district
021301,1994,3805,district
021301,1995,3833,district
021302,1990,4216,district
021302,1991,4290,district
021302,1992,4357,district
021302,1993,4420,district
021302,1994,4487,district
021302,1995,4562,district
021303,1990,1409,district
021303,1991,1407,district
021303,1992,1406,district
021303,1993,1404,district
021303,1994,1403,district
021303,1995,1401,district
021304,1990,2600,district
021304,1991,2605,district
021304,1992,2609,district
021304,1993,2611,district
021304,1994,2616,district
021304,1995,2623,district
021305,1990,1763,district
021305,1991,1779,district
021305,1992,1790,district
021305,1993,1800,district
021305,1994,1811,district
021305,1995,1827,district
021306,1990,5266,district
021306,1991,5354,district
021306,1992,5464,district
021306,1993,5579,district
021306,1994,5684,district
021306,1995,5765,district
021307,1990,3189,district
021307,1991,3244,district
